STRD_YR_CD,ADSTRD_CD,ADSTRD_CD_NM,TOTL_RESID_PUL_CNT
2014,11710531,거여1동,15737
2014,11710532,거여2동,22917
2014,11710540,마천1동,21591
2014,11710550,마천2동,15865
2014,11710561,방이1동,15239
2014,11710562,방이2동,20472
2014,11710566,오륜동,20309
2014,11710570,오금동,34954
2014,11710580,송파1동,26173
2014,11710590,송파2동,21506
2014,11710600,석촌동,32614
2014,11710610,삼전동,32448
2014,11710620,가락본동,28617
2014,11710631,가락1동,2087
2014,11710632,가락2동,35725
2014,11710641,문정1동,22385
2014,11710642,문정2동,16942
2014,11710646,장지동,34951
2014,11710650,잠실본동,28678
2014,11710670,잠실2동,37215
2014,11710680,잠실3동,37294
2014,11710690,잠실4동,31243
2014,11710710,잠실6동,17728
2014,11710720,잠실7동,10630
2014,11740515,강일동,33777
2014,11740520,상일동,27219
2014,11740530,명일1동,26672
2014,11740540,명일2동,18199
2014,11740550,고덕1동,17201
2014,11740560,고덕2동,17202
2014,11740570,암사1동,37731
2014,11740580,암사2동,14859
2014,11740590,암사3동,19130
2014,11740600,천호1동,30853
2014,11740610,천호2동,34309
2014,11740620,천호3동,23891
2014,11740640,성내1동,18223
2014,11740650,성내2동,21385
2014,11740660,성내3동,24347
2014,11740685,길동,51093
2014,11740690,둔촌1동,20030
2014,11740700,둔촌2동,28766
2014,11110515,청운효자동,5988
2014,11110530,사직동,4949
2014,11110540,삼청동,33
2014,11110550,부암동,4518
2014,11110560,평창동,9129
2014,11110570,무악동,7725
2014,11110580,교남동,1210
2014,11110600,가회동,1469
2014,11110615,종로1.2.3.4가동,2688
2014,11110630,종로5.6가동,1667
2014,11110640,이화동,4304
2014,11110650,혜화동,9888
2014,11110670,창신1동,3399
2014,11110680,창신2동,6721
2014,11110690,창신3동,7321
2014,11110700,숭인1동,4443
2014,11110710,숭인2동,5749
2014,11140520,소공동,762
2014,11140540,회현동,3720
2014,11140550,명동,2152
2014,11140570,필동,3036
2014,11140580,장충동,3511
2014,11140590,광희동,2469
2014,11140605,을지로동,428
2014,11140615,신당동,2760
2014,11140625,다산동,12227
2014,11140635,약수동,17867
2014,11140645,청구동,13076
2014,11140650,신당5동,7844
2014,11140665,동화동,10425
2014,11140670,황학동,7623
2014,11140680,중림동,6002
2014,11170510,후암동,8542
2014,11170520,용산2가동,3966
2014,11170530,남영동,3741
2014,11170555,청파동,12149
2014,11170560,원효로1동,7192
2014,11170570,원효로2동,12212
2014,11170580,효창동,6413
2014,11170590,용문동,9359
2014,11170625,한강로동,8194
2014,11170630,이촌1동,26817
2014,11170640,이촌2동,9514
2014,11170650,이태원1동,2124
2014,11170660,이태원2동,2832
2014,11170685,한남동,10699
2014,11170690,서빙고동,9455
2014,11170700,보광동,3711
2014,11200520,왕십리2동,15979
2014,11200535,왕십리도선동,5270
2014,11200540,마장동,17412
2014,11200550,사근동,6427
2014,11200560,행당1동,14301
2014,11200570,행당2동,26080
2014,11200580,응봉동,16285
2014,11200590,금호1가동,11959
2014,11200615,금호2.3가동,16490
2014,11200620,금호4가동,12800
2014,11200645,옥수동,19929
2014,11200650,성수1가1동,16467
2014,11200660,성수1가2동,16402
2014,11200670,성수2가1동,18603
2014,11200690,성수2가3동,8079
2014,11200720,송정동,7025
2014,11200790,용답동,11031
2014,11215710,화양동,12898
2014,11215730,군자동,15392
2014,11215740,중곡1동,9611
2014,11215750,중곡2동,15531
2014,11215760,중곡3동,8340
2014,11215770,중곡4동,25099
2014,11215780,능동,5847
2014,11215810,광장동,35423
2014,11215820,자양1동,20251
2014,11215830,자양2동,27722
2014,11215840,자양3동,30962
2014,11215847,자양4동,18326
2014,11215850,구의1동,16895
2014,11215860,구의2동,23484
2014,11215870,구의3동,28940
2014,11230536,용신동,16338
2014,11230545,제기동,13780
2014,11230560,전농1동,20358
2014,11230570,전농2동,19540
2014,11230600,답십리1동,11667
2014,11230610,답십리2동,23882
2014,11230650,장안1동,35481
2014,11230660,장안2동,31057
2014,11230705,청량리동,13731
2014,11230710,회기동,7294
2014,11230720,휘경1동,9012
2014,11230730,휘경2동,24806
2014,11230740,이문1동,11192
2014,11230750,이문2동,15494
2014,11260520,면목2동,22702
2014,11260540,면목4동,19272
2014,11260550,면목5동,7320
2014,11260565,면목본동,21665
2014,11260570,면목7동,18513
2014,11260575,면목3.8동,19052
2014,11260580,상봉1동,23382
2014,11260590,상봉2동,14954
2014,11260600,중화1동,19535
2014,11260610,중화2동,17440
2014,11260620,묵1동,34593
2014,11260630,묵2동,13369
2014,11260655,망우본동,27536
2014,11260660,망우3동,9483
2014,11260680,신내1동,30805
2014,11260690,신내2동,25060
2014,11290525,성북동,3248
2014,11290555,삼선동,14158
2014,11290575,동선동,10913
2014,11290580,돈암1동,15305
2014,11290590,돈암2동,28772
2014,11290600,안암동,10562
2014,11290610,보문동,6369
2014,11290620,정릉1동,20399
2014,11290630,정릉2동,17854
2014,11290640,정릉3동,8466
2014,11290650,정릉4동,23812
2014,11290660,길음1동,31681
2014,11290685,길음2동,13359
2014,11290705,종암동,36736
2014,11290715,월곡1동,20732
2014,11290725,월곡2동,14206
2014,11290760,장위1동,9612
2014,11290770,장위2동,6289
2014,11290780,장위3동,5943
2014,11290810,석관동,14109
2014,11305534,삼양동,16503
2014,11305535,미아동,12245
2014,11305545,송중동,14681
2014,11305555,송천동,9364
2014,11305575,삼각산동,34214
2014,11305590,번1동,7706
2014,11305600,번2동,17770
2014,11305606,번3동,20904
2014,11305610,수유1동,10417
2014,11305620,수유2동,14139
2014,11305630,수유3동,10641
2014,11305645,우이동,10612
2014,11305660,인수동,18080
2014,11320511,창1동,27217
2014,11320512,창2동,27432
2014,11320513,창3동,10043
2014,11320514,창4동,30668
2014,11320515,창5동,26414
2014,11320521,도봉1동,16518
2014,11320522,도봉2동,28109
2014,11320660,쌍문1동,16788
2014,11320670,쌍문2동,17994
2014,11320680,쌍문3동,14271
2014,11320681,쌍문4동,20497
2014,11320690,방학1동,28354
2014,11320700,방학2동,19113
2014,11320710,방학3동,31633
2014,11350560,월계1동,19005
2014,11350570,월계2동,28684
2014,11350580,월계3동,35612
2014,11350595,공릉1동,36166
2014,11350600,공릉2동,42464
2014,11350611,하계1동,29142
2014,11350612,하계2동,25723
2014,11350619,중계본동,20395
2014,11350621,중계1동,30375
2014,11350624,중계4동,21004
2014,11350625,중계2.3동,42004
2014,11350630,상계1동,39916
2014,11350640,상계2동,19107
2014,11350665,상계3.4동,25680
2014,11350670,상계5동,19643
2014,11350695,상계6.7동,36270
2014,11350700,상계8동,26980
2014,11350710,상계9동,24604
2014,11350720,상계10동,20513
2014,11380510,녹번동,22334
2014,11380520,불광1동,38197
2014,11380530,불광2동,15948
2014,11380551,갈현1동,20066
2014,11380552,갈현2동,25606
2014,11380560,구산동,31787
2014,11380570,대조동,25454
2014,11380580,응암1동,28201
2014,11380590,응암2동,24261
2014,11380600,응암3동,11511
2014,11380625,역촌동,41650
2014,11380631,신사1동,26018
2014,11380632,신사2동,18044
2014,11380640,증산동,16556
2014,11380650,수색동,10825
2014,11380690,진관동,50865
2014,11410520,천연동,16226
2014,11410555,북아현동,4324
2014,11410565,충현동,8181
2014,11410585,신촌동,12162
2014,11410615,연희동,19047
2014,11410620,홍제1동,21560
2014,11410640,홍제3동,11557
2014,11410655,홍제2동,14877
2014,11410660,홍은1동,17249
2014,11410685,홍은2동,22510
2014,11410690,남가좌1동,1651
2014,11410700,남가좌2동,15452
2014,11410710,북가좌1동,19378
2014,11410720,북가좌2동,25114
2014,11440555,아현동,11524
2014,11440565,공덕동,29420
2014,11440585,도화동,21770
2014,11440590,용강동,15313
2014,11440600,대흥동,7829
2014,11440610,염리동,11895
2014,11440630,신수동,17156
2014,11440655,서강동,20475
2014,11440660,서교동,19843
2014,11440680,합정동,16452
2014,11440690,망원1동,17682
2014,11440700,망원2동,19181
2014,11440710,연남동,10703
2014,11440720,성산1동,16367
2014,11440730,성산2동,41170
2014,11440740,상암동,31955
2014,11470510,목1동,31988
2014,11470520,목2동,30178
2014,11470530,목3동,22541
2014,11470540,목4동,27773
2014,11470550,목5동,45432
2014,11470560,신월1동,21961
2014,11470570,신월2동,21340
2014,11470580,신월3동,12223
2014,11470590,신월4동,18529
2014,11470600,신월5동,15863
2014,11470610,신월6동,8584
2014,11470611,신월7동,26761
2014,11470620,신정1동,16970
2014,11470630,신정2동,21417
2014,11470640,신정3동,58901
2014,11470650,신정4동,35632
2014,11470670,신정6동,26792
2014,11470680,신정7동,29919
2014,11500510,염창동,41656
2014,11500520,등촌1동,21129
